504.9	28	14	0.04
485.1	24	14	0.04
465.3	25.6	13	0.04
455.4	24.8	15	0.04
495	28.8	14	0.04
534.6	31.2	17	0.08
455.4	27.2	14	0.06
495	27.2	15	0.04
435.6	23.2	14	0.04
485.1	24.8	15	0.02
534.6	29.6	15	0.04
475.2	27.2	16	0.04
475.2	24	14	0.02
425.7	24	11	0.02
574.2	32	12	0.04
564.3	35.2	15	0.08
534.6	31.2	13	0.08
504.9	28	14	0.06
564.3	30.4	17	0.06
504.9	30.4	15	0.06
534.6	27.2	17	0.04
504.9	29.6	15	0.08
455.4	28.8	10	0.04
504.9	26.4	17	0.1
475.2	27.2	19	0.04
495	24	16	0.04
495	27.2	16	0.08
514.8	28	15	0.04
514.8	27.2	14	0.04
465.3	25.6	16	0.04
475.2	24.8	16	0.04
534.6	27.2	15	0.08
514.8	32.8	15	0.02
544.5	33.6	14	0.04
485.1	24.8	15	0.02
495	25.6	12	0.04
544.5	28	13	0.04
485.1	24.8	15	0.02
435.6	24	13	0.04
504.9	27.2	15	0.04
495	28	13	0.06
445.5	18.4	13	0.06
435.6	25.6	13	0.04
495	28	16	0.12
504.9	30.4	19	0.08
475.2	24	14	0.06
504.9	30.4	16	0.04
455.4	25.6	14	0.04
524.7	29.6	15	0.04
495	26.4	14	0.04
693	25.6	47	0.28
633.6	25.6	45	0.3
683.1	24.8	49	0.3
544.5	18.4	40	0.26
643.5	22.4	46	0.3
564.3	22.4	45	0.26
623.7	26.4	47	0.32
485.1	19.2	33	0.2
653.4	23.2	46	0.26
514.8	21.6	39	0.28
495	16	35	0.2
584.1	24	42	0.3
594	17.6	40	0.2
603.9	23.2	47	0.28
554.4	23.2	36	0.26
663.3	24.8	44	0.28
554.4	24	45	0.3
574.2	21.6	41	0.2
613.8	17.6	45	0.3
554.4	20	39	0.22
584.1	25.6	48	0.36
603.9	22.4	40	0.26
623.7	20	49	0.3
603.9	22.4	47	0.24
633.6	23.2	43	0.26
653.4	24	44	0.28
673.2	22.4	48	0.28
663.3	24	50	0.34
594	23.2	45	0.3
564.3	20.8	35	0.2
544.5	19.2	38	0.22
544.5	19.2	37	0.2
574.2	21.6	39	0.24
594	21.6	51	0.32
534.6	24	45	0.3
594	27.2	45	0.32
663.3	24.8	47	0.3
623.7	18.4	44	0.26
554.4	24	41	0.26
544.5	20	40	0.26
544.5	20.8	44	0.24
603.9	24	46	0.28
574.2	20.8	40	0.24
495	18.4	33	0.2
554.4	21.6	42	0.26
564.3	24	42	0.24
564.3	23.2	42	0.26
613.8	23.2	43	0.26
504.9	20	30	0.22
564.3	22.4	41	0.26
623.7	26.4	60	0.5
574.2	21.6	51	0.38
702.9	24	59	0.42
623.7	23.2	56	0.36
643.5	24	58	0.44
752.4	24	66	0.42
485.1	20	45	0.34
722.7	23.2	63	0.36
663.3	20	58	0.36
712.8	28.8	61	0.5
643.5	25.6	51	0.4
633.6	21.6	53	0.38
673.2	24	55	0.42
564.3	20	50	0.4
574.2	22.4	51	0.48
633.6	25.6	53	0.46
643.5	24	55	0.36
762.3	30.4	67	0.44
762.3	20.8	69	0.46
594	17.6	50	0.3
683.1	25.6	57	0.46
554.4	22.4	49	0.4
762.3	22.4	67	0.4
623.7	21.6	49	0.36
663.3	26.4	57	0.42
712.8	25.6	60	0.36
613.8	22.4	48	0.36
603.9	24	49	0.36
633.6	22.4	56	0.42
712.8	24	58	0.32
732.6	22.4	61	0.38
782.1	30.4	64	0.4
633.6	22.4	56	0.44
623.7	22.4	51	0.3
603.9	20.8	56	0.28
762.3	24	61	0.46
623.7	27.2	56	0.48
633.6	24.8	55	0.36
594	24	48	0.36
683.1	24.8	54	0.42
663.3	24.8	56	0.48
683.1	24.8	51	0.46
574.2	21.6	51	0.38
673.2	25.6	59	0.46
663.3	26.4	57	0.5
663.3	24	52	0.46
623.7	20	50	0.38
643.5	24	52	0.4
613.8	27.2	54	0.46
584.1	24	51	0.36
